ENDTIME_us,TASK,PID,TYPE,BYTES,OFFSET_b,LATENCY_us,FILE
197931633815,b'FwgThread read ',2790468,R,65536,24903680,25881,b'vdb_f0787.file'
197931634614,b'FwgThread read ',2790468,R,65536,8126464,22425,b'vdb_f3133.file'
197931932537,b'FwgThread read ',2790468,R,65536,50069504,21261,b'vdb_f6076.file'
197931935891,b'FwgThread read ',2790468,R,65536,0,22417,b'vdb_f8393.file'
197931935889,b'FwgThread read ',2790468,R,65536,37486592,20693,b'vdb_f4564.file'
197932039609,b'FwgThread read ',2790468,R,65536,24903680,32366,b'vdb_f6663.file'
197932040682,b'FwgThread read ',2790468,R,65536,39583744,23941,b'vdb_f7783.file'
197932088878,b'FwgThread read ',2790468,R,65536,39583744,24227,b'vdb_f4234.file'
197932090189,b'FwgThread read ',2790468,R,65536,16515072,32953,b'vdb_f7556.file'
197932093978,b'FwgThread read ',2790468,R,65536,45875200,35107,b'vdb_f6663.file'
197932833354,b'FwgThread read ',2790468,R,65536,29097984,20364,b'vdb_f4117.file'
197933613485,b'FwgThread read ',2790468,R,65536,41680896,28692,b'vdb_f8288.file'
197933613447,b'FwgThread read ',2790468,R,65536,41680896,24950,b'vdb_f7838.file'
197933615025,b'FwgThread read ',2790468,R,65536,1835008,29561,b'vdb_f0600.file'
197933619338,b'FwgThread read ',2790468,R,65536,50069504,35994,b'vdb_f1349.file'
197936766871,b'FwgThread read ',2790468,R,65536,262144,22661,b'vdb_f8328.file'
197936768330,b'FwgThread read ',2790468,R,65536,33292288,22065,b'vdb_f2507.file'
197937078036,b'FwgThread read ',2790468,R,65536,45875200,20625,b'vdb_f7836.file'
197937081779,b'FwgThread read ',2790468,R,65536,16515072,20605,b'vdb_f8616.file'
197937231711,b'FwgThread read ',2790468,R,65536,3932160,31478,b'vdb_f5527.file'
197937232481,b'FwgThread read ',2790468,R,65536,45875200,33445,b'vdb_f2441.file'
197937232495,b'FwgThread read ',2790468,R,65536,45875200,37391,b'vdb_f3130.file'
197937234145,b'FwgThread read ',2790468,R,65536,29097984,36540,b'vdb_f2835.file'
197937705709,b'FwgThread read ',2790468,R,65536,29097984,41485,b'vdb_f4924.file'
197937706510,b'FwgThread read ',2790468,R,65536,0,38099,b'vdb_f0386.file'
197937709982,b'FwgThread read ',2790468,R,65536,41680896,41845,b'vdb_f3268.file'
197937713778,b'FwgThread read ',2790468,R,65536,16515072,40176,b'vdb_f2411.file'
197937890460,b'FwgThread read ',2790468,R,65536,786432,20388,b'vdb_f0556.file'
197937895479,b'FwgThread read ',2790468,R,65536,41680896,24712,b'vdb_f8560.file'
197937895499,b'FwgThread read ',2790468,R,65536,29097984,26116,b'vdb_f3093.file'
197937897605,b'FwgThread read ',2790468,R,65536,20709376,30051,b'vdb_f3490.file'
197937969076,b'FwgThread read ',2790468,R,65536,1835008,20833,b'vdb_f5704.file'
197938135467,b'FwgThread read ',2790468,R,65536,39583744,20074,b'vdb_f7916.file'
197938139864,b'FwgThread read ',2790468,R,65536,16515072,25938,b'vdb_f1061.file'
197938142791,b'FwgThread read ',2790468,R,65536,54263808,27363,b'vdb_f6825.file'
197938145640,b'FwgThread read ',2790468,R,65536,8126464,27011,b'vdb_f5548.file'
197939177269,b'FwgThread read ',2790468,R,65536,35389440,40666,b'vdb_f2245.file'
197939177329,b'FwgThread read ',2790468,R,65536,6029312,42158,b'vdb_f7267.file'
197939179376,b'FwgThread read ',2790468,R,65536,12320768,48131,b'vdb_f2622.file'
197939186217,b'FwgThread read ',2790468,R,65536,45875200,52078,b'vdb_f7562.file'
197941041950,b'FwgThread read ',2790468,R,65536,24903680,26455,b'vdb_f0518.file'
197941044621,b'FwgThread read ',2790468,R,65536,45875200,24218,b'vdb_f2218.file'
197941143690,b'FwgThread read ',2790468,R,65536,45875200,70631,b'vdb_f5695.file'
197941144296,b'FwgThread read ',2790468,R,65536,262144,72109,b'vdb_f8256.file'
197941144771,b'FwgThread read ',2790468,R,65536,1835008,68279,b'vdb_f4808.file'
197941147504,b'FwgThread read ',2790468,R,65536,41680896,70357,b'vdb_f5043.file'
197941410656,b'FwgThread read ',2790468,R,65536,14417920,73519,b'vdb_f8486.file'
197941411795,b'FwgThread read ',2790468,R,65536,1835008,80365,b'vdb_f3575.file'
197941412106,b'FwgThread read ',2790468,R,65536,0,78568,b'vdb_f0521.file'
197941417501,b'FwgThread read ',2790468,R,65536,0,84460,b'vdb_f1086.file'
197941737638,b'FwgThread read ',2790468,R,65536,8126464,24413,b'vdb_f3493.file'
197941740800,b'FwgThread read ',2790468,R,65536,29097984,22785,b'vdb_f7418.file'
197941820891,b'FwgThread read ',2790468,R,65536,20709376,22083,b'vdb_f2898.file'
197941823485,b'FwgThread read ',2790468,R,65536,262144,22327,b'vdb_f0614.file'
197941826299,b'FwgThread read ',2790468,R,65536,20709376,27009,b'vdb_f7153.file'
197943333808,b'FwgThread read ',2790468,R,65536,50069504,21371,b'vdb_f6786.file'
197943339217,b'FwgThread read ',2790468,R,65536,29097984,22248,b'vdb_f2581.file'
197943340021,b'FwgThread read ',2790468,R,65536,24903680,23580,b'vdb_f0185.file'
197943615975,b'FwgThread read ',2790468,R,65536,22806528,22092,b'vdb_f8767.file'
197943616011,b'FwgThread read ',2790468,R,65536,12320768,23820,b'vdb_f2841.file'
197943619366,b'FwgThread read ',2790468,R,65536,33292288,27172,b'vdb_f2069.file'
197943620379,b'FwgThread read ',2790468,R,65536,8126464,30126,b'vdb_f8539.file'
197943880103,b'FwgThread read ',2790468,R,65536,1835008,28495,b'vdb_f6324.file'
197943883179,b'FwgThread read ',2790468,R,65536,41680896,30056,b'vdb_f5966.file'
197943883190,b'FwgThread read ',2790468,R,65536,50069504,26197,b'vdb_f0491.file'
197943890825,b'FwgThread read ',2790468,R,65536,16515072,29015,b'vdb_f4405.file'
197944398284,b'FwgThread read ',2790468,R,65536,262144,22484,b'vdb_f7491.file'
197945085233,b'FwgThread read ',2790468,R,65536,1835008,21945,b'vdb_f4331.file'
197945090210,b'FwgThread read ',2790468,R,65536,16515072,23129,b'vdb_f6149.file'
197945092544,b'FwgThread read ',2790468,R,65536,262144,26222,b'vdb_f1868.file'
197946105944,b'FwgThread read ',2790468,R,65536,16515072,32443,b'vdb_f4349.file'
197946105938,b'FwgThread read ',2790468,R,65536,0,42468,b'vdb_f3411.file'
197946107607,b'FwgThread read ',2790468,R,65536,41680896,38257,b'vdb_f6546.file'
197946108380,b'FwgThread read ',2790468,R,65536,50069504,34277,b'vdb_f7033.file'
197947569504,b'FwgThread read ',2790468,R,65536,29097984,21003,b'vdb_f4869.file'
197947874161,b'FwgThread read ',2790468,R,65536,0,26431,b'vdb_f5874.file'
197947875681,b'FwgThread read ',2790468,R,65536,3932160,26269,b'vdb_f2754.file'
197947876650,b'FwgThread read ',2790468,R,65536,0,20859,b'vdb_f1400.file'
197947877650,b'FwgThread read ',2790468,R,65536,1835008,28030,b'vdb_f0078.file'
197948112963,b'FwgThread read ',2790468,R,65536,8126464,23976,b'vdb_f5910.file'
197948158214,b'FwgThread read ',2790468,R,65536,262144,22537,b'vdb_f0205.file'
197948158221,b'FwgThread read ',2790468,R,65536,33292288,21821,b'vdb_f5910.file'
197948817673,b'FwgThread read ',2790468,R,65536,50069504,25802,b'vdb_f1804.file'
197948817696,b'FwgThread read ',2790468,R,65536,24903680,28013,b'vdb_f4650.file'
197949420358,b'FwgThread read ',2790468,R,65536,8126464,21047,b'vdb_f4634.file'
197949421667,b'FwgThread read ',2790468,R,65536,16515072,23000,b'vdb_f1240.file'
197949422326,b'FwgThread read ',2790468,R,65536,16515072,20631,b'vdb_f3773.file'
197949623788,b'FwgThread read ',2790468,R,65536,16515072,21935,b'vdb_f8865.file'
197949624237,b'FwgThread read ',2790468,R,65536,24903680,20365,b'vdb_f0683.file'
197949752189,b'FwgThread read ',2790468,R,65536,20709376,39259,b'vdb_f8467.file'
197949753468,b'FwgThread read ',2790468,R,65536,16515072,41924,b'vdb_f4236.file'
197949753818,b'FwgThread read ',2790468,R,65536,33292288,36576,b'vdb_f0645.file'
197949755871,b'FwgThread read ',2790468,R,65536,29097984,33734,b'vdb_f3722.file'
197950112815,b'FwgThread read ',2790468,R,65536,14417920,33151,b'vdb_f8888.file'
197950114262,b'FwgThread read ',2790468,R,65536,14417920,31713,b'vdb_f8342.file'
197950115863,b'FwgThread read ',2790468,R,65536,262144,36443,b'vdb_f8408.file'
197950118058,b'FwgThread read ',2790468,R,65536,12320768,40047,b'vdb_f1957.file'
197951365674,b'FwgThread read ',2790468,R,65536,50069504,20043,b'vdb_f8894.file'
197951368465,b'FwgThread read ',2790468,R,65536,16515072,31390,b'vdb_f6955.file'
197951368581,b'FwgThread read ',2790468,R,65536,54263808,28526,b'vdb_f3921.file'
197951369877,b'FwgThread read ',2790468,R,65536,50069504,31367,b'vdb_f0488.file'
197951820767,b'FwgThread read ',2790468,R,65536,37486592,42656,b'vdb_f5013.file'
197951823647,b'FwgThread read ',2790468,R,65536,0,21228,b'vdb_f4668.file'
197951823646,b'FwgThread read ',2790468,R,65536,29097984,35707,b'vdb_f2587.file'
197951824631,b'FwgThread read ',2790468,R,65536,31195136,36060,b'vdb_f2880.file'
197952293839,b'FwgThread read ',2790468,R,65536,16515072,24183,b'vdb_f4276.file'
197952296508,b'FwgThread read ',2790468,R,65536,29097984,26911,b'vdb_f3401.file'
197952298537,b'FwgThread read ',2790468,R,65536,16515072,29500,b'vdb_f0656.file'
197954857290,b'FwgThread read ',2790468,R,65536,33292288,20092,b'vdb_f4899.file'
197954860517,b'FwgThread read ',2790468,R,65536,45875200,27791,b'vdb_f5913.file'
197954861690,b'FwgThread read ',2790468,R,65536,262144,27580,b'vdb_f1234.file'
197954862305,b'FwgThread read ',2790468,R,65536,41680896,25758,b'vdb_f0083.file'
197955034674,b'FwgThread read ',2790468,R,65536,24903680,20825,b'vdb_f3418.file'
197955036741,b'FwgThread read ',2790468,R,65536,54263808,26083,b'vdb_f3894.file'
197955038729,b'FwgThread read ',2790468,R,65536,20709376,22937,b'vdb_f7069.file'
197955041478,b'FwgThread read ',2790468,R,65536,16515072,24306,b'vdb_f1642.file'
197956704433,b'FwgThread read ',2790468,R,65536,45875200,23473,b'vdb_f0148.file'
197956705521,b'FwgThread read ',2790468,R,65536,50069504,23799,b'vdb_f1491.file'
197956706087,b'FwgThread read ',2790468,R,65536,37486592,25894,b'vdb_f6325.file'
197956707345,b'FwgThread read ',2790468,R,65536,16515072,35774,b'vdb_f2272.file'
197957495723,b'FwgThread read ',2790468,R,65536,262144,43518,b'vdb_f3941.file'
197957499141,b'FwgThread read ',2790468,R,65536,29097984,41807,b'vdb_f2076.file'
197957505421,b'FwgThread read ',2790468,R,65536,20709376,42066,b'vdb_f4820.file'
197957507269,b'FwgThread read ',2790468,R,65536,20709376,43865,b'vdb_f8374.file'
197958868484,b'FwgThread read ',2790468,R,65536,41680896,22219,b'vdb_f6715.file'
197958869288,b'FwgThread read ',2790468,R,65536,45875200,20771,b'vdb_f3578.file'
197958872464,b'FwgThread read ',2790468,R,65536,29097984,23393,b'vdb_f2433.file'
197958872515,b'FwgThread read ',2790468,R,65536,24903680,24430,b'vdb_f4554.file'
197958913769,b'FwgThread read ',2790468,R,65536,786432,25681,b'vdb_f8234.file'
197958914759,b'FwgThread read ',2790468,R,65536,45875200,25941,b'vdb_f2433.file'
197958917470,b'FwgThread read ',2790468,R,65536,41680896,25416,b'vdb_f4554.file'
197959381716,b'FwgThread read ',2790468,R,65536,50069504,25655,b'vdb_f1109.file'
197959613217,b'FwgThread read ',2790468,R,65536,37486592,24546,b'vdb_f5968.file'
197959613318,b'FwgThread read ',2790468,R,65536,20709376,22837,b'vdb_f0963.file'
197959615493,b'FwgThread read ',2790468,R,65536,262144,23270,b'vdb_f2294.file'
197959697743,b'FwgThread read ',2790468,R,65536,50069504,23801,b'vdb_f2294.file'
197959698745,b'FwgThread read ',2790468,R,65536,29097984,24960,b'vdb_f7019.file'
197961739878,b'FwgThread read ',2790468,R,65536,8126464,33429,b'vdb_f1934.file'
197961743564,b'FwgThread read ',2790468,R,65536,29097984,34127,b'vdb_f2600.file'
197961745948,b'FwgThread read ',2790468,R,65536,33292288,42007,b'vdb_f2863.file'
197961746056,b'FwgThread read ',2790468,R,65536,8126464,32598,b'vdb_f2458.file'
197961777748,b'FwgThread read ',2790468,R,65536,39583744,23333,b'vdb_f2600.file'
197962888393,b'FwgThread read ',2790468,R,65536,37486592,30486,b'vdb_f4624.file'
197962888409,b'FwgThread read ',2790468,R,65536,43778048,24803,b'vdb_f1094.file'
197965070251,b'FwgThread read ',2790468,R,65536,262144,25161,b'vdb_f6541.file'
197965071403,b'FwgThread read ',2790468,R,65536,41680896,25934,b'vdb_f2582.file'
197965071983,b'FwgThread read ',2790468,R,65536,24903680,26115,b'vdb_f1860.file'
197965559894,b'FwgThread read ',2790468,R,65536,3932160,21850,b'vdb_f2850.file'
197965672900,b'FwgThread read ',2790468,R,65536,16515072,22002,b'vdb_f1074.file'
197965680750,b'FwgThread read ',2790468,R,65536,1835008,28375,b'vdb_f7889.file'
197965769287,b'FwgThread read ',2790468,R,65536,8126464,25463,b'vdb_f6234.file'
197965771396,b'FwgThread read ',2790468,R,65536,52166656,25318,b'vdb_f7889.file'
197965772904,b'FwgThread read ',2790468,R,4096,0,27882,b'vdb_f8507.file'
197965774293,b'FwgThread read ',2790468,R,65536,0,27463,b'vdb_f6335.file'
197965776569,b'FwgThread read ',2790468,R,65536,3932160,32744,b'vdb_f4379.file'
197969067468,b'FwgThread read ',2790468,R,65536,37486592,29823,b'vdb_f1128.file'
197969068483,b'FwgThread read ',2790468,R,65536,29097984,28863,b'vdb_f7496.file'
197969071363,b'FwgThread read ',2790468,R,65536,41680896,28097,b'vdb_f5023.file'
197969495791,b'FwgThread read ',2790468,R,65536,41680896,21550,b'vdb_f8620.file'
197969768476,b'FwgThread read ',2790468,R,65536,16515072,21361,b'vdb_f1204.file'
197969770777,b'FwgThread read ',2790468,R,65536,16515072,21398,b'vdb_f2335.file'
197969772614,b'FwgThread read ',2790468,R,65536,1835008,24459,b'vdb_f1324.file'
197969773394,b'FwgThread read ',2790468,R,65536,1835008,25259,b'vdb_f7945.file'
197969960501,b'FwgThread read ',2790468,R,65536,262144,43351,b'vdb_f6176.file'
197969962053,b'FwgThread read ',2790468,R,65536,3932160,35587,b'vdb_f7909.file'
197969986040,b'FwgThread read ',2790468,R,65536,50069504,57916,b'vdb_f1964.file'
197969986033,b'FwgThread read ',2790468,R,65536,8126464,23036,b'vdb_f7909.file'
197969986057,b'FwgThread read ',2790468,R,65536,45875200,58957,b'vdb_f8427.file'
197970113081,b'FwgThread read ',2790468,R,65536,56360960,22494,b'vdb_f6975.file'
197970114453,b'FwgThread read ',2790468,R,4096,16384,27979,b'vdb_f8196.file'
197970114457,b'FwgThread read ',2790468,R,65536,20709376,23378,b'vdb_f8286.file'
197970118336,b'FwgThread read ',2790468,R,65536,0,30387,b'vdb_f6754.file'
